id,text,name,scale,zipcodes,code
110105-gal-argonne-champenoise,GAL Argonne Champenoise,GAL Argonne Champenoise,Ad-hoc,,GAL-602
110175-gal-ariege-montagnes-ariegeoises,GAL Ariège Montagnes Ariégeoises,GAL Ariège Montagnes Ariégeoises,Ad-hoc,,GAL-1113
110264-gal-arve-et-giffre,GAL Arve et Giffre,GAL Arve et Giffre,Ad-hoc,,GAL-1804
110165-gal-aubrac-olt-causse,GAL Aubrac Olt Causse,GAL Aubrac Olt Causse,Ad-hoc,,GAL-1103
110317-gal-aunis,GAL Aunis,GAL Aunis,Ad-hoc,,GAL-2006
110068-gal-auxois-morvan,GAL Auxois Morvan,GAL Auxois Morvan,Ad-hoc,,GAL-401
110265-gal-avant-pays-savoyard,GAL Avant Pays Savoyard,GAL Avant Pays Savoyard,Ad-hoc,,GAL-1805
110208-gal-avre-eure-et-iton,"GAL Avre, Eure et Iton","GAL Avre, Eure et Iton",Ad-hoc,,GAL-1403
110037-gal-bassin-darcachon-val-de-leyre,GAL Bassin d'Arcachon Val de l'Eyre,GAL Bassin d'Arcachon Val de l'Eyre,Ad-hoc,,GAL-205
110266-gal-bassin-de-bourg-en-bresse,GAL Bassin de Bourg en Bresse,GAL Bassin de Bourg en Bresse,Ad-hoc,,GAL-1806
110086-gal-beauce-dunois,GAL Beauce Dunois,GAL Beauce Dunois,Ad-hoc,,GAL-506
110267-gal-beaujolais-vert,GAL Beaujolais vert,GAL Beaujolais vert,Ad-hoc,,GAL-1807
110268-gal-belledonne,GAL Belledonne,GAL Belledonne,Ad-hoc,,GAL-1808
110082-gal-berry-val-de-loire,GAL Berry Val de Loire,GAL Berry Val de Loire,Ad-hoc,,GAL-502
110235-gal-bocage-vendeen,GAL Bocage Vendéen,GAL Bocage Vendéen,Ad-hoc,,GAL-1525
110269-gal-boucle-du-rhone-en-dauphine,GAL Boucle du Rhône en Dauphiné,GAL Boucle du Rhône en Dauphiné,Ad-hoc,,GAL-1809
110083-gal-bourges,GAL Bourges,GAL Bourges,Ad-hoc,,GAL-503
110071-gal-bourgogne-nivernaise,GAL Bourgogne Nivernaise,GAL Bourgogne Nivernaise,Ad-hoc,,GAL-404
110028-gal-bruche-mossig-piemont,GAL Bruche Mossig Piémont,GAL Bruche Mossig Piémont,Ad-hoc,,GAL-101
110198-gal-caen-metropole,GAL Caen Métropole,GAL Caen Métropole,Ad-hoc,,GAL-1306
110187-gal-cambresis,GAL Cambrésis,GAL Cambrésis,Ad-hoc,,GAL-1203
110213-gal-canal-edre-et-loire,GAL Canal Edre et Loire,GAL Canal Edre et Loire,Ad-hoc,,GAL-1503
110133-gal-carcassonnais,GAL Carcassonnais,GAL Carcassonnais,Ad-hoc,,GAL-810
110341-gal-castagniccia-maree-monti,GAL Castagniccia  maree Monti,GAL Castagniccia  maree Monti,Ad-hoc,,GAL-2202
110088-gal-castelroussin,GAL Castelroussin,GAL Castelroussin,Ad-hoc,,GAL-508
110124-gal-causses-cevennes,GAL Causses Cévennes,GAL Causses Cévennes,Ad-hoc,,GAL-801
110345-gal-centre-corse,GAL Centre Corse,GAL Centre Corse,Ad-hoc,,GAL-2206
110356-gal-centre-martinique,GAL Centre Martinique,GAL Centre Martinique,Ad-hoc,,GAL-2406
110166-gal-centre-ouest-aveyron,GAL Centre Ouest Aveyron,GAL Centre Ouest Aveyron,Ad-hoc,,GAL-1104
110125-gal-cevennes,GAL Cévennes,GAL Cévennes,Ad-hoc,,GAL-802
110270-gal-chablais,GAL Chablais,GAL Chablais,Ad-hoc,,GAL-1810
110073-gal-chalonnais,GAL Chalonnais,GAL Chalonnais,Ad-hoc,,GAL-406
110333-gal-champagnole-nozeroy-jura,GAL Champagnole Nozeroy Jura,GAL Champagnole Nozeroy Jura,Ad-hoc,,GAL-2103
110313-gal-charente-limousine,GAL Charente Limousine,GAL Charente Limousine,Ad-hoc,,GAL-2002
110145-gal-chataigneraie-limousine,GAL Châtaigneraie limousine,GAL Châtaigneraie limousine,Ad-hoc,,GAL-905
110092-gal-chinonais,GAL Chinonais,GAL Chinonais,Ad-hoc,,GAL-512
110327-gal-civraisien,GAL Civraisien,GAL Civraisien,Ad-hoc,,GAL-2016
110242-gal-cur-des-hauts-de-france,GAL Cœur des Hauts de France,GAL Cœur des Hauts de France,Ad-hoc,,GAL-1604
110126-gal-coeur-dherault,GAL Coeur D'hérault,GAL Coeur D'hérault,Ad-hoc,,GAL-803
110038-gal-cur-entre-2-mers,GAL Cœur Entre 2 Mers,GAL Cœur Entre 2 Mers,Ad-hoc,,GAL-206
110225-gal-coevrons,GAL Coëvrons,GAL Coëvrons,Ad-hoc,,GAL-1515
110144-gal-combraille-en-marche,GAL Combraille en marche,GAL Combraille en marche,Ad-hoc,,GAL-904
110344-gal-corse-orientale,GAL Corse Orientale,GAL Corse Orientale,Ad-hoc,,GAL-2205
110168-gal-coteaux-nestes,GAL Coteaux-Nestes,GAL Coteaux-Nestes,Ad-hoc,,GAL-1106
